system,sample_id,question_type,prediction,gold_answer,exact_match,f1_score,time_seconds
Vanilla RAG,0,bridge,yes,yes,1.0,1.0,2.4562311118046285
Vanilla RAG,1,bridge,3677,3677,1.0,1.0,2.285208110314739
Vanilla RAG,2,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.230142993691221
Vanilla RAG,3,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.396619171546452
Vanilla RAG,4,bridge,no,no,1.0,1.0,2.102997517841745
Vanilla RAG,5,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.6829618119276435
Vanilla RAG,6,bridge,1999,1999,1.0,1.0,2.212614442461107
Vanilla RAG,7,bridge,Greenwich Village,Greenwich Village,1.0,1.0,2.1994505465589995
Vanilla RAG,8,bridge,David Weissman,David Weissman,1.0,1.0,2.336841649411323
Vanilla RAG,9,bridge,no,no,1.0,1.0,2.3888740812311124
Vanilla RAG,10,bridge,Kansas Song,Kansas Song,1.0,1.0,2.512801179718926
Vanilla RAG,11,bridge,Animorphs,Animorphs,1.0,1.0,1.994025854254022
Vanilla RAG,12,bridge,yes,yes,1.0,1.0,2.42040667975902
Vanilla RAG,13,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,2.1816002519284057
Vanilla RAG,14,bridge,Terry Richardson,Terry Richardson,1.0,1.0,2.1436230995659025
Vanilla RAG,15,bridge,yes,yes,1.0,1.0,2.227873228344202
Vanilla RAG,16,bridge,3677,3677,1.0,1.0,2.5301310424402423
Vanilla RAG,17,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.4246228298611463
Vanilla RAG,18,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.3316167068482714
Vanilla RAG,19,bridge,no,no,1.0,1.0,2.360369013967732
Vanilla RAG,20,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.288596778246022
Vanilla RAG,21,bridge,1999,1999,1.0,1.0,2.150812496922994
Vanilla RAG,22,bridge,Greenwich Village,Greenwich Village,1.0,1.0,2.2160361123185126
Vanilla RAG,23,bridge,David Weissman,David Weissman,1.0,1.0,2.1757195760326993
Vanilla RAG,24,bridge,no,no,1.0,1.0,2.4092921448331106
Vanilla RAG,25,bridge,Kansas Song,Kansas Song,1.0,1.0,2.008803246360203
Vanilla RAG,26,bridge,Animorphs,Animorphs,1.0,1.0,2.302259143470154
Vanilla RAG,27,bridge,yes,yes,1.0,1.0,2.400266791429127
Vanilla RAG,28,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,2.3540938691262
Vanilla RAG,29,bridge,Terry Richardson,Terry Richardson,1.0,1.0,2.331877445888973
Vanilla RAG,30,bridge,yes,yes,1.0,1.0,2.5251014756080727
Vanilla RAG,31,bridge,3677,3677,1.0,1.0,2.4773245599492633
Vanilla RAG,32,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.3633184194305077
Vanilla RAG,33,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.0914209309880913
Vanilla RAG,34,bridge,no,no,1.0,1.0,2.1567187295933206
Vanilla RAG,35,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.393225624697366
Vanilla RAG,36,bridge,1999,1999,1.0,1.0,2.400812573854131
Vanilla RAG,37,bridge,Greenwich Village,Greenwich Village,1.0,1.0,2.462134326354354
Vanilla RAG,38,bridge,David Weissman,David Weissman,1.0,1.0,2.180874215150633
Vanilla RAG,39,bridge,no,no,1.0,1.0,2.776591235607873
Vanilla RAG,40,bridge,Kansas Song,Kansas Song,1.0,1.0,2.1119244891668068
Vanilla RAG,41,bridge,Animorphs,Animorphs,1.0,1.0,2.565430014243171
Vanilla RAG,42,bridge,yes,yes,1.0,1.0,2.282579180855328
Vanilla RAG,43,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,2.3219581999970993
Vanilla RAG,44,bridge,Terry Richardson,Terry Richardson,1.0,1.0,2.34304244269943
Vanilla RAG,45,bridge,yes,yes,1.0,1.0,2.4864061593770113
Vanilla RAG,46,bridge,3677,3677,1.0,1.0,2.2877097082337507
Vanilla RAG,47,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.141850269971993
Vanilla RAG,48,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.3900979361264674
Vanilla RAG,49,bridge,no,no,1.0,1.0,2.1331773599289345
Vanilla RAG,50,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.423722242321498
Vanilla RAG,51,bridge,1999,1999,1.0,1.0,2.0176253678980407
Vanilla RAG,52,bridge,Greenwich Village,Greenwich Village,1.0,1.0,2.4605211585956153
Vanilla RAG,53,bridge,David Weissman,David Weissman,1.0,1.0,2.563236412657409
Vanilla RAG,54,bridge,no,no,1.0,1.0,2.159158899798208
Vanilla RAG,55,bridge,Kansas Song,Kansas Song,1.0,1.0,2.8816301046016006
Vanilla RAG,56,bridge,Animorphs,Animorphs,1.0,1.0,2.2295679434052724
Vanilla RAG,57,bridge,yes,yes,1.0,1.0,2.1726189320331675
Vanilla RAG,58,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,2.350663810537492
Vanilla RAG,59,bridge,Terry Richardson,Terry Richardson,1.0,1.0,1.8661166347221199
Vanilla RAG,60,bridge,yes,yes,1.0,1.0,2.154550147206748
Vanilla RAG,61,bridge,3677,3677,1.0,1.0,2.0591306407489482
Vanilla RAG,62,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.7531162922257764
Vanilla RAG,63,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.836584550100956
Vanilla RAG,64,bridge,no,no,1.0,1.0,2.6364572089096696
Vanilla RAG,65,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.1230982696507286
Vanilla RAG,66,bridge,1999,1999,1.0,1.0,2.2808990525740005
Vanilla RAG,67,bridge,Greenwich Village,Greenwich Village,1.0,1.0,2.237029590112906
Vanilla RAG,68,bridge,David Weissman,David Weissman,1.0,1.0,2.61218031800426
Vanilla RAG,69,bridge,no,no,1.0,1.0,2.3865799687641918
Vanilla RAG,70,bridge,Kansas Song,Kansas Song,1.0,1.0,2.366563058788792
Vanilla RAG,71,bridge,Animorphs,Animorphs,1.0,1.0,2.8391298096695663
Vanilla RAG,72,bridge,yes,yes,1.0,1.0,2.4057520970499975
Vanilla RAG,73,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,2.2020886468750542
Vanilla RAG,74,bridge,Terry Richardson,Terry Richardson,1.0,1.0,2.5505063708513807
Vanilla RAG,75,bridge,yes,yes,1.0,1.0,2.146015167444235
Vanilla RAG,76,bridge,3677,3677,1.0,1.0,2.3351090270123893
Vanilla RAG,77,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.468020787193789
Vanilla RAG,78,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.533147425663199
Vanilla RAG,79,bridge,no,no,1.0,1.0,2.4995769952830216
Vanilla RAG,80,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.362697055808296
Vanilla RAG,81,bridge,1999,1999,1.0,1.0,2.1045919327290696
Vanilla RAG,82,bridge,Greenwich Village,Greenwich Village,1.0,1.0,2.486044037190204
Vanilla RAG,83,bridge,David Weissman,David Weissman,1.0,1.0,2.3577382666173317
Vanilla RAG,84,bridge,no,no,1.0,1.0,2.146833655950552
Vanilla RAG,85,bridge,Kansas Song,Kansas Song,1.0,1.0,2.147600427437455
Vanilla RAG,86,bridge,Animorphs,Animorphs,1.0,1.0,2.2297770364853124
Vanilla RAG,87,bridge,yes,yes,1.0,1.0,2.17188405222693
Vanilla RAG,88,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,2.5406923518292723
Vanilla RAG,89,bridge,Terry Richardson,Terry Richardson,1.0,1.0,2.3356679261777806
Vanilla RAG,90,bridge,yes,yes,1.0,1.0,2.461527084332434
Vanilla RAG,91,bridge,3677,3677,1.0,1.0,2.5014936940604002
Vanilla RAG,92,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.3628562070604264
Vanilla RAG,93,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.6795676042240397
Vanilla RAG,94,bridge,no,no,1.0,1.0,2.5441230289926384
Vanilla RAG,95,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.1435050889296985
Vanilla RAG,96,bridge,1999,1999,1.0,1.0,2.1623629571964345
Vanilla RAG,97,bridge,Greenwich Village,Greenwich Village,1.0,1.0,2.5623991781355357
Vanilla RAG,98,bridge,David Weissman,David Weissman,1.0,1.0,2.0310654295571697
Vanilla RAG,99,bridge,no,no,1.0,1.0,1.9391265201927346
Vanilla RAG,100,bridge,Kansas Song,Kansas Song,1.0,1.0,1.966903927842118
Vanilla RAG,101,bridge,Animorphs,Animorphs,1.0,1.0,2.234684679673857
Vanilla RAG,102,bridge,yes,yes,1.0,1.0,2.3681491778205843
Vanilla RAG,103,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,1.9810172840478644
Vanilla RAG,104,bridge,Terry Richardson,Terry Richardson,1.0,1.0,2.70296956227227
Vanilla RAG,105,bridge,yes,yes,1.0,1.0,2.822215014422385
Vanilla RAG,106,bridge,3677,3677,1.0,1.0,2.491017972202924
Vanilla RAG,107,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.5876713299228036
Vanilla RAG,108,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.2769588007399735
Vanilla RAG,109,bridge,no,no,1.0,1.0,2.721096037663682
Vanilla RAG,110,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.429871315051798
Vanilla RAG,111,bridge,1999,1999,1.0,1.0,2.0347541368818645
Vanilla RAG,112,bridge,Greenwich Village,Greenwich Village,1.0,1.0,2.2197551413432137
Vanilla RAG,113,bridge,David Weissman,David Weissman,1.0,1.0,2.1093401051574827
Vanilla RAG,114,bridge,no,no,1.0,1.0,2.3149548957706334
Vanilla RAG,115,bridge,Kansas Song,Kansas Song,1.0,1.0,2.799745681102435
Vanilla RAG,116,bridge,Animorphs,Animorphs,1.0,1.0,2.313715236372346
Vanilla RAG,117,bridge,yes,yes,1.0,1.0,2.2158627314591364
Vanilla RAG,118,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,1.9854452914455387
Vanilla RAG,119,bridge,Terry Richardson,Terry Richardson,1.0,1.0,2.474914329355049
Vanilla RAG,120,bridge,yes,yes,1.0,1.0,2.3100672835935003
Vanilla RAG,121,bridge,3677,3677,1.0,1.0,2.163013925603473
Vanilla RAG,122,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.73479114260698
Vanilla RAG,123,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.3581041839895427
Vanilla RAG,124,bridge,no,no,1.0,1.0,2.097284399887609
Vanilla RAG,125,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.556725546122404
Vanilla RAG,126,bridge,1999,1999,1.0,1.0,2.1877496388254922
Vanilla RAG,127,bridge,Greenwich Village,Greenwich Village,1.0,1.0,2.3513540609390895
Vanilla RAG,128,bridge,David Weissman,David Weissman,1.0,1.0,2.28408615703326
Vanilla RAG,129,bridge,no,no,1.0,1.0,2.457214621904105
Vanilla RAG,130,bridge,Kansas Song,Kansas Song,1.0,1.0,1.949359164217599
Vanilla RAG,131,bridge,Animorphs,Animorphs,1.0,1.0,2.161397357369051
Vanilla RAG,132,bridge,yes,yes,1.0,1.0,2.4007750654028266
Vanilla RAG,133,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,2.324537327116528
Vanilla RAG,134,bridge,Terry Richardson,Terry Richardson,1.0,1.0,2.138663272523555
Vanilla RAG,135,bridge,yes,yes,1.0,1.0,2.535551954223243
Vanilla RAG,136,bridge,3677,3677,1.0,1.0,1.761635186970214
Vanilla RAG,137,bridge,1986 to 2013,1986 to 2013,1.0,1.0,2.426848134368886
Vanilla RAG,138,bridge,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.613261002428395
Vanilla RAG,139,bridge,no,no,1.0,1.0,2.2259001435670362
Vanilla RAG,140,bridge,YG Entertainment,YG Entertainment,1.0,1.0,2.4078073165137606
Vanilla RAG,141,bridge,1999,1999,1.0,1.0,2.621084057786363
Vanilla RAG,142,bridge,Greenwich Village,Greenwich Village,1.0,1.0,1.9022346904799496
Vanilla RAG,143,bridge,David Weissman,David Weissman,1.0,1.0,2.416501005460814
Vanilla RAG,144,bridge,no,no,1.0,1.0,2.3951338065974044
Vanilla RAG,145,bridge,Kansas Song,Kansas Song,1.0,1.0,2.4192081593536927
Vanilla RAG,146,bridge,Animorphs,Animorphs,1.0,1.0,2.382556703683688
Vanilla RAG,147,bridge,yes,yes,1.0,1.0,2.5342985810713534
Vanilla RAG,148,bridge,Chief of Protocol,Chief of Protocol,1.0,1.0,2.4520812792246556
Vanilla RAG,149,bridge,Terry Richardson,Terry Richardson,1.0,1.0,2.276849265141351
Vanilla RAG,150,bridge,yes,yes,1.0,1.0,2.517135336295012
Vanilla RAG,151,bridge,3677,3677,1.0,1.0,2.4367437673543457
Vanilla RAG,152,bridge,1986 to 2013,1986 to 2013,1.0,1.0,1.9237794617563986
Vanilla RAG,153,bridge,yes,Eenasul Fateh,0.0,0.2558853596915767,2.405512658558838
Vanilla RAG,154,bridge,no,no,0.0,0.2763100999519666,2.365598381937545
Vanilla RAG,155,bridge,yes,YG Entertainment,0.0,0.17264214762976454,2.155028977425797
Vanilla RAG,156,bridge,Not stated,1999,0.0,0.26333989748458225,2.7128056706336188
Vanilla RAG,157,bridge,Unknown,Greenwich Village,0.0,0.14538776652588323,2.3530396294755542
Vanilla RAG,158,bridge,yes,David Weissman,0.0,0.1343565358963567,2.3030261517325163
Vanilla RAG,159,bridge,Not stated,no,0.0,0.17172759496072065,2.532621916647088
Vanilla RAG,160,bridge,Not stated,Kansas Song,0.0,0.24840374580999608,2.26142638036611
Vanilla RAG,161,bridge,Not stated,Animorphs,0.0,0.1677675301373297,2.282496123003889
Vanilla RAG,162,bridge,Unknown,yes,0.0,0.21190396419233176,2.285961319931169
Vanilla RAG,163,bridge,yes,Chief of Protocol,0.0,0.24585313677518172,2.2770800464101697
Vanilla RAG,164,bridge,no,Terry Richardson,0.0,0.2797614734259535,2.343259454307629
Vanilla RAG,165,bridge,I dont know,yes,0.0,0.26762787899764534,2.2057630903900245
Vanilla RAG,166,bridge,no,3677,0.0,0.18357426833432836,2.1731940868535435
Vanilla RAG,167,bridge,I dont know,1986 to 2013,0.0,0.31944261444135624,1.719673064836035
Vanilla RAG,168,bridge,Unknown,Eenasul Fateh,0.0,0.14844205530396973,2.259811102985198
Vanilla RAG,169,bridge,I dont know,no,0.0,0.14734327536669278,2.080125252160996
Vanilla RAG,170,bridge,yes,YG Entertainment,0.0,0.2487452062733782,2.508871262986117
Vanilla RAG,171,bridge,Not stated,1999,0.0,0.27394635733876355,2.0540220927192845
Vanilla RAG,172,bridge,Unknown,Greenwich Village,0.0,0.15296523257064187,2.5063646325596167
Vanilla RAG,173,bridge,I dont know,David Weissman,0.0,0.14376003961569161,2.087031181341624
Vanilla RAG,174,bridge,Not stated,no,0.0,0.29388093285059896,2.4163151272046557
Vanilla RAG,175,bridge,I dont know,Kansas Song,0.0,0.30509034958736136,2.2176828131985444
Vanilla RAG,176,bridge,yes,Animorphs,0.0,0.2434704290513524,1.9757487733954064
Vanilla RAG,177,bridge,no,yes,0.0,0.13716487673113242,1.852828518555209
Vanilla RAG,178,bridge,yes,Chief of Protocol,0.0,0.28261366815773836,2.2124889336867057
Vanilla RAG,179,bridge,yes,Terry Richardson,0.0,0.2990635442030294,2.366729269786917
Vanilla RAG,180,bridge,Unknown,yes,0.0,0.20402524500783323,2.4120256139207417
Vanilla RAG,181,bridge,I dont know,3677,0.0,0.25513688885288005,2.3799825125219383
Vanilla RAG,182,bridge,I dont know,1986 to 2013,0.0,0.16053081943121694,2.2136962348076095
Vanilla RAG,183,bridge,I dont know,Eenasul Fateh,0.0,0.16990140615429752,2.4355311448371864
Vanilla RAG,184,bridge,yes,no,0.0,0.26836406269171026,2.3999109578294466
Vanilla RAG,185,bridge,no,YG Entertainment,0.0,0.24982620113339765,1.909235429868395
Vanilla RAG,186,bridge,no,1999,0.0,0.23482797540594158,2.4611322107897746
