sample_id,system,question,gold_answer,prediction,exact_match,f1_score,time_seconds
0,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.4562311118046285
1,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.285208110314739
2,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.230142993691221
3,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.396619171546452
4,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.102997517841745
5,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.6829618119276435
6,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.212614442461107
7,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,2.1994505465589995
8,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.336841649411323
9,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,2.3888740812311124
10,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,2.512801179718926
11,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,1.994025854254022
12,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.42040667975902
13,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,2.1816002519284057
14,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,2.1436230995659025
15,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.227873228344202
16,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.5301310424402423
17,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.4246228298611463
18,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.3316167068482714
19,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.360369013967732
20,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.288596778246022
21,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.150812496922994
22,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,2.2160361123185126
23,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.1757195760326993
24,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,2.4092921448331106
25,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,2.008803246360203
26,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,2.302259143470154
27,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.400266791429127
28,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,2.3540938691262
29,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,2.331877445888973
30,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.5251014756080727
31,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.4773245599492633
32,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.3633184194305077
33,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.0914209309880913
34,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.1567187295933206
35,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.393225624697366
36,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.400812573854131
37,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,2.462134326354354
38,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.180874215150633
39,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,2.776591235607873
40,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,2.1119244891668068
41,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,2.565430014243171
42,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.282579180855328
43,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,2.3219581999970993
44,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,2.34304244269943
45,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.4864061593770113
46,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.2877097082337507
47,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.141850269971993
48,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.3900979361264674
49,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.1331773599289345
50,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.423722242321498
51,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.0176253678980407
52,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,2.4605211585956153
53,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.563236412657409
54,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,2.159158899798208
55,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,2.8816301046016006
56,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,2.2295679434052724
57,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.1726189320331675
58,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,2.350663810537492
59,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,1.8661166347221199
60,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.154550147206748
61,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.0591306407489482
62,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.7531162922257764
63,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.836584550100956
64,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.6364572089096696
65,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.1230982696507286
66,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.2808990525740005
67,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,2.237029590112906
68,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.61218031800426
69,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,2.3865799687641918
70,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,2.366563058788792
71,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,2.8391298096695663
72,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.4057520970499975
73,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,2.2020886468750542
74,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,2.5505063708513807
75,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.146015167444235
76,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.3351090270123893
77,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.468020787193789
78,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.533147425663199
79,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.4995769952830216
80,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.362697055808296
81,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.1045919327290696
82,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,2.486044037190204
83,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.3577382666173317
84,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,2.146833655950552
85,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,2.147600427437455
86,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,2.2297770364853124
87,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.17188405222693
88,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,2.5406923518292723
89,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,2.3356679261777806
90,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.461527084332434
91,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.5014936940604002
92,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.3628562070604264
93,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.6795676042240397
94,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.5441230289926384
95,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.1435050889296985
96,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.1623629571964345
97,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,2.5623991781355357
98,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.0310654295571697
99,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,1.9391265201927346
100,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,1.966903927842118
101,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,2.234684679673857
102,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.3681491778205843
103,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,1.9810172840478644
104,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,2.70296956227227
105,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.822215014422385
106,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.491017972202924
107,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.5876713299228036
108,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.2769588007399735
109,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.721096037663682
110,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.429871315051798
111,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.0347541368818645
112,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,2.2197551413432137
113,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.1093401051574827
114,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,2.3149548957706334
115,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,2.799745681102435
116,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,2.313715236372346
117,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.2158627314591364
118,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,1.9854452914455387
119,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,2.474914329355049
120,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.3100672835935003
121,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.163013925603473
122,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.73479114260698
123,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.3581041839895427
124,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.097284399887609
125,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.556725546122404
126,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.1877496388254922
127,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,2.3513540609390895
128,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.28408615703326
129,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,2.457214621904105
130,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,1.949359164217599
131,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,2.161397357369051
132,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.4007750654028266
133,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,2.324537327116528
134,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,2.138663272523555
135,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.535551954223243
136,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,1.761635186970214
137,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,2.426848134368886
138,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,Eenasul Fateh,1.0,1.0,2.613261002428395
139,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,2.2259001435670362
140,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,YG Entertainment,1.0,1.0,2.4078073165137606
141,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,1999,1.0,1.0,2.621084057786363
142,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Greenwich Village,1.0,1.0,1.9022346904799496
143,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,David Weissman,1.0,1.0,2.416501005460814
144,Vanilla RAG,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,1.0,1.0,2.3951338065974044
145,Vanilla RAG,What is the name of the fight song of the university in Lawrence Kansas?,Kansas Song,Kansas Song,1.0,1.0,2.4192081593536927
146,Vanilla RAG,What science fantasy young adult series has a set of companion books?,Animorphs,Animorphs,1.0,1.0,2.382556703683688
147,Vanilla RAG,Are Local H and For Against both from the United States?,yes,yes,1.0,1.0,2.5342985810713534
148,Vanilla RAG,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol,1.0,1.0,2.4520812792246556
149,Vanilla RAG,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,1.0,1.0,2.276849265141351
150,Vanilla RAG,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,1.0,1.0,2.517135336295012
151,Vanilla RAG,The arena where the Lewiston Maineiacs played can seat how many people?,3677,3677,1.0,1.0,2.4367437673543457
152,Vanilla RAG,The football manager who recruited Beckham managed Manchester United when?,1986 to 2013,1986 to 2013,1.0,1.0,1.9237794617563986
153,Vanilla RAG,Who was known by stage name Aladin and helped organizations improve their performance?,Eenasul Fateh,yes,0.0,0.2558853596915767,2.405512658558838
154,Vanilla RAG,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,0.0,0.2763100999519666,2.365598381937545
155,Vanilla RAG,2014 S/S is the debut album of a South Korean boy group formed by who?,YG Entertainment,yes,0.0,0.17264214762976454,2.155028977425797
156,Vanilla RAG,What year did Guns N Roses perform a promo for a movie with Arnold Schwarzenegger?,1999,Not stated,0.0,0.26333989748458225,2.7128056706336188
157,Vanilla RAG,The director of the romantic comedy Big Stone Gap is based in what New York city?,Greenwich Village,Unknown,0.0,0.14538776652588323,2.3530396294755542
158,Vanilla RAG,What screenwriter with credits for Evolution co-wrote a film with Nicolas Cage?,David Weissman,yes,0.0,0.1343565358963567,2.3030261517325163
